Population,Temperature,CPI,Peak
63.24917,26.4525,70.2333333,14552.5
63.20833,26.485,70.2333333,15260.8
63.1675,26.5175,70.2333333,16485.3
63.12667,26.55,70.2333333,16681.1
63.08583,26.5825,70.0666667,16293.1
63.045,26.615,70.0666667,16156.9
63.00417,26.6475,70.0666667,16029.8
62.96333,26.68,70.0666667,15912.1
62.9225,26.7125,70.15,15818.2
62.88167,26.745,69.9,15992.3
62.84083,26.7775,69.9,16074.2
62.8,26.81,69.9,15929.7
63.33667,26.6375,71.9,15777.5
63.31333,26.645,71.9,16723.5
63.29,26.6525,71.9,17222.2
63.26667,26.66,71.9,17826.4
63.24333,26.6675,71.5,18121.4
63.22,26.675,71.5,17368.6
63.19667,26.6825,71.5,17271.8
63.17333,26.69,71.5,17205.2
63.15,26.6975,71.7,16816.2
63.12667,26.705,71.1,16988.9
63.10333,26.7125,71.1,17369.4
63.08,26.72,71.1,16982.8
60.9525,26.5858333,74.4333333,16831.7
61.045,26.5916667,74.4333333,17672.3
61.1375,26.5975,74.4333333,19325.8
61.23,26.6033333,74.4333333,19252.1
61.3225,26.6091667,73.7666667,18373.5
61.415,26.615,73.7666667,18131.3
61.5075,26.6208333,73.7666667,17930.3
61.6,26.6266667,73.7666667,18526.2
61.6925,26.6325,74.1,18229.7
61.785,26.6383333,73.1,18309.5
61.8775,26.6441667,73.1,18836.3
61.97,26.65,73.1,17361.9
62.8325,27.0525,78.6,18261.2
62.795,27.035,78.6,18940
62.7575,27.0175,78.6,20221.5
62.72,27,78.6,20537.5
62.6825,26.9825,77.5,20536.8
62.645,26.965,77.5,19237.5
62.6075,26.9475,77.5,18960.1
62.57,26.93,77.5,19039.4
62.5325,26.9125,78.05,18775.9
62.495,26.895,76.4,18758.7
62.4575,26.8775,76.4,19092.4
62.42,26.86,76.4,18449.7
63.20583,26.6491667,82.4,18879.2
63.17167,26.6583333,82.4,19695.7
63.1375,26.6675,82.4,20744.8
63.10333,26.6766667,82.4,20531.3
63.06917,26.6858333,81.2,21064
63.035,26.695,81.2,20439.3
63.00083,26.7041667,81.2,20040.3
62.96667,26.7133333,81.2,19869.7
62.9325,26.7225,81.8,20213.5
62.89833,26.7316667,80,20052.3
62.86417,26.7408333,80,20443.6
62.83,26.75,80,20092
63.2325,26.5583333,82.8333333,19754.8
63.215,26.5666667,82.8333333,20592.9
63.1975,26.575,82.8333333,22161
63.18,26.5833333,82.8333333,22586
63.1625,26.5916667,82.2666667,21234
63.145,26.6,82.2666667,21555.4
63.1275,26.6083333,82.2666667,20396.3
63.11,26.6166667,82.2666667,20853
63.0925,26.625,82.55,21062.7
63.075,26.6333333,81.7,20594.4
63.0575,26.6416667,81.7,20483
63.04,26.65,81.7,20957
63.71083,25.9791667,89.2,20733
63.68167,26.0083333,89.2,20708.2
63.6525,26.0375,89.2,22122.1
63.62333,26.0666667,89.2,22568.2
