,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
all_flags,Population005CPI2GDP2,Population005CPI3GDP2,Population005CPI4GDP2,Population01CPI2GDP2,Population01CPI3GDP2,Population01CPI4GDP2,Population015CPI2GDP2,Population015CPI3GDP2,Population015CPI4GDP2,Population005CPI2GDP3,Population005CPI3GDP3,Population005CPI4GDP3,Population01CPI2GDP3,Population01CPI3GDP3,Population01CPI4GDP3,Population015CPI2GDP3,Population015CPI3GDP3,Population015CPI4GDP3,Population005CPI2GDP4,Population005CPI3GDP4,Population005CPI4GDP4,Population01CPI2GDP4,Population01CPI3GDP4,Population01CPI4GDP4,Population015CPI2GDP4,Population015CPI3GDP4,Population015CPI4GDP4
2023-01,26686.5390625,26686.5390625,26686.5390625,26686.5390625,26686.5390625,26686.5390625,26672.544921875,26672.544921875,26672.544921875,26686.5390625,26686.5390625,26686.5390625,26686.5390625,26686.5390625,26686.5390625,26672.544921875,26672.544921875,26672.544921875,26686.5390625,26686.5390625,26686.5390625,26686.5390625,26686.5390625,26686.5390625,26672.544921875,26672.544921875,26672.544921875
2023-02,25581.234375,25581.234375,25581.234375,25563.6015625,25563.6015625,25563.6015625,25585.50390625,25585.50390625,25585.50390625,25576.501953125,25576.501953125,25576.501953125,25558.873046875,25558.873046875,25558.873046875,25580.771484375,25580.771484375,25580.771484375,25576.501953125,25576.501953125,25576.501953125,25558.873046875,25558.873046875,25558.873046875,25580.771484375,25580.771484375,25580.771484375
2023-03,26586.275390625,26586.275390625,26586.275390625,26604.6640625,26604.6640625,26604.6640625,26604.6640625,26604.6640625,26604.6640625,26586.275390625,26586.275390625,26586.275390625,26604.6640625,26604.6640625,26604.6640625,26604.6640625,26604.6640625,26604.6640625,26586.275390625,26586.275390625,26586.275390625,26604.6640625,26604.6640625,26604.6640625,26604.6640625,26604.6640625,26604.6640625
2023-04,26659.75390625,26659.75390625,26659.75390625,26682.59375,26682.59375,26682.59375,26682.59375,26682.59375,26682.59375,26659.75390625,26659.75390625,26659.75390625,26682.59375,26682.59375,26682.59375,26682.59375,26682.59375,26682.59375,26659.75390625,26659.75390625,26659.75390625,26682.59375,26682.59375,26682.59375,26682.59375,26682.59375,26682.59375
2023-05,26550.34765625,26550.34765625,26550.34765625,26573.09375,26573.09375,26573.09375,26562.806640625,26562.806640625,26562.806640625,26550.34765625,26550.34765625,26550.34765625,26573.09375,26573.09375,26573.09375,26562.806640625,26562.806640625,26562.806640625,26550.34765625,26550.34765625,26550.34765625,26573.09375,26573.09375,26573.09375,26562.806640625,26562.806640625,26562.806640625
2023-06,26573.09375,26573.09375,26573.09375,26573.09375,26573.09375,26573.09375,26562.806640625,26562.806640625,26562.806640625,26573.09375,26573.09375,26573.09375,26573.09375,26573.09375,26573.09375,26562.806640625,26562.806640625,26562.806640625,26573.09375,26573.09375,26573.09375,26573.09375,26573.09375,26573.09375,26562.806640625,26562.806640625,26562.806640625
2023-07,26573.09375,26573.09375,26573.09375,26562.806640625,26562.806640625,26562.806640625,26570.890625,26570.890625,26570.890625,26573.09375,26573.09375,26573.09375,26562.806640625,26562.806640625,26562.806640625,26570.890625,26570.890625,26570.890625,26573.09375,26573.09375,26573.09375,26562.806640625,26562.806640625,26562.806640625,26570.890625,26570.890625,26570.890625
2023-08,26477.12109375,26477.12109375,26477.12109375,26466.87109375,26466.87109375,26466.87109375,26529.693359375,26529.693359375,26529.693359375,26477.12109375,26477.12109375,26477.12109375,26466.87109375,26466.87109375,26466.87109375,26529.693359375,26529.693359375,26529.693359375,26477.12109375,26477.12109375,26477.12109375,26466.87109375,26466.87109375,26466.87109375,26529.693359375,26529.693359375,26529.693359375
2023-09,26529.541015625,26529.541015625,26529.541015625,26519.271484375,26519.271484375,26519.271484375,26583.689453125,26583.689453125,26583.689453125,26529.541015625,26529.541015625,26529.541015625,26519.271484375,26519.271484375,26519.271484375,26583.689453125,26583.689453125,26583.689453125,26529.541015625,26529.541015625,26529.541015625,26519.271484375,26519.271484375,26519.271484375,26583.689453125,26583.689453125,26583.689453125
2023-10,26676.919921875,26676.919921875,26676.919921875,26674.70703125,26674.70703125,26674.70703125,26731.369140625,26731.369140625,26731.369140625,26676.919921875,26676.919921875,26676.919921875,26674.70703125,26674.70703125,26674.70703125,26731.369140625,26731.369140625,26731.369140625,26676.919921875,26676.919921875,26676.919921875,26674.70703125,26674.70703125,26674.70703125,26731.369140625,26731.369140625,26731.369140625
2023-11,26571.978515625,26571.978515625,26571.978515625,26617.4296875,26617.4296875,26617.4296875,26636.90625,26636.90625,26636.90625,26571.978515625,26571.978515625,26571.978515625,26617.4296875,26617.4296875,26617.4296875,26636.90625,26636.90625,26636.90625,26571.978515625,26571.978515625,26571.978515625,26617.4296875,26617.4296875,26617.4296875,26636.90625,26636.90625,26636.90625
2023-12,26489.142578125,26489.142578125,26489.142578125,26538.119140625,26538.119140625,26538.119140625,26614.458984375,26614.458984375,26614.458984375,26489.142578125,26489.142578125,26489.142578125,26538.119140625,26538.119140625,26538.119140625,26614.458984375,26614.458984375,26614.458984375,26489.142578125,26489.142578125,26489.142578125,26538.119140625,26538.119140625,26538.119140625,26614.458984375,26614.458984375,26614.458984375
2024-01,26470.556640625,26470.556640625,26470.556640625,26539.537109375,26539.537109375,26539.537109375,26615.880859375,26615.880859375,26615.880859375,26470.556640625,26470.556640625,26470.556640625,26539.537109375,26539.537109375,26539.537109375,26615.880859375,26615.880859375,26615.880859375,26470.556640625,26470.556640625,26470.556640625,26539.537109375,26539.537109375,26539.537109375,26615.880859375,26615.880859375,26615.880859375
