Year,Month,Date,Population,Temperature,CPI,GDP,Peak
2022,12,01-12-22,66.09,26.3,106.47,2772100,27124.7
2022,11,01-11-22,66.08333333,26.24916667,106.47,2772100,27832.7
2022,10,01-10-22,66.07666667,26.19833333,106.47,2772100,27041.9
2022,9,01-09-22,66.07,26.1475,106.47,2101018,27808
2022,8,01-08-22,66.06333333,26.09666667,108.5033333,2324712,28951.8
2022,7,01-07-22,66.05666667,26.04583333,108.5033333,2548406,29558.1
2022,6,01-06-22,66.05,25.995,108.5033333,2659121,29593.6
2022,5,01-05-22,66.04333333,25.94416667,108.5033333,2622216,29675.3
2022,4,01-04-22,66.03666667,25.89333333,110.5366667,2585311,32254.5
2022,3,01-03-22,66.03,25.8425,110.5366667,2900102.667,30349
2022,2,01-02-22,66.02333333,25.79166667,110.5366667,2837144.333,27672.5
2022,1,01-01-22,66.01666667,25.74083333,110.5366667,2774186,26688.4
2021,12,01-12-21,66.17,26.91,100.37,2655299,25596.9
2021,11,01-11-21,66.16833333,26.86666667,100.37,2694928,27346.9
2021,10,01-10-21,66.16666667,26.82333333,100.37,2734557,26920.4
2021,9,01-09-21,66.165,26.78,100.37,1840689,26841.2
2021,8,01-08-21,66.16333333,26.73666667,100.7766667,2138645,27642.1
2021,7,01-07-21,66.16166667,26.69333333,100.7766667,2436601,28690.5
2021,6,01-06-21,66.16,26.65,100.7766667,2696374,29692.1
2021,5,01-05-21,66.15833333,26.60666667,100.7766667,2609783,29702
2021,4,01-04-21,66.15666667,26.56333333,101.1833333,2523192,30135.3
2021,3,01-03-21,66.155,26.52,101.1833333,2843778.667,29536.8
2021,2,01-02-21,66.15333333,26.47666667,101.1833333,2779661.333,26318.8
2021,1,01-01-21,66.15166667,26.43333333,101.1833333,2715544,25686.2
2020,12,01-12-20,66.19,27.43,99.15,2622001,25924.1
2020,11,01-11-20,66.15916667,27.4225,99.15,2653182,27433
2020,10,01-10-20,66.12833333,27.415,99.15,2684363,26161.6
2020,9,01-09-20,66.0975,27.4075,99.15,1958498,27159.4
2020,8,01-08-20,66.06666667,27.4,98.86666667,2200453,27235
2020,7,01-07-20,66.03583333,27.3925,98.86666667,2442408,26855
2020,6,01-06-20,66.005,27.385,98.86666667,2146815,27240
2020,5,01-05-20,65.97416667,27.3775,98.86666667,2245346,28328
2020,4,01-04-20,65.94333333,27.37,98.58333333,2343877,27747
