Date,Hydro Electricity,Fuel Oil,Coal & Lignite,Natural Gas,Diesel,Imported,Renewable Energy,Total
2002-1,512.6,168.3,"1,623.40","5,689.20",8.2,190.3,71.8,"8,264.00"
2002-2,588.9,138,"1,552.00","5,683.20",8.3,149.2,68.3,"8,188.00"
2002-3,798,218.3,"1,775.30","6,674.40",5,146.5,69.6,"9,687.10"
2002-4,718.8,250.8,"1,772.50","6,399.20",3.4,163.5,70.3,"9,378.40"
2002-5,602.4,186.5,"1,536.40","7,023.40",15.5,221.7,68.7,"9,654.70"
2002-6,413.5,163.8,"1,414.10","7,157.00",5,271.8,58.9,"9,484.20"
2002-7,483.9,141.3,"1,406.60","7,340.70",23.8,301.3,54.5,"9,752.00"
2002-8,551.2,160.4,"1,499.10","6,982.20",46.7,313.4,46.5,"9,599.50"
2002-9,597.5,191.2,"1,681.70","6,518.40",27.9,289.4,33.1,"9,339.20"
2002-10,669.6,155.4,"1,666.00","6,734.50",3.1,300.7,45.3,"9,574.50"
2002-11,788.6,113.5,"1,694.60","6,290.70",1.8,241.3,49.5,"9,179.90"
2002-12,641.9,119.2,"1,669.80","6,417.40",2.3,223.1,78.6,"9,152.40"
2003-1,687.9,111.1,"1,761.10","6,115.80",3,189.8,109.1,"8,977.90"
2003-2,696.5,141.8,"1,689.90","6,049.00",1.5,140.4,100.9,"8,819.90"
2003-3,801.5,141.6,"1,705.00","7,309.70",3,147,107.2,"10,215.10"
2003-4,734.5,176.4,"1,613.40","7,204.80",4.3,114.7,115,"9,963.10"
2003-5,815.9,293.3,"1,565.90","7,574.80",4.8,174.7,110.7,"10,540.10"
2003-6,625,163.5,"1,705.80","7,181.40",3,223.7,109.2,"10,011.50"
2003-7,455,136.8,"1,628.00","7,498.00",2.8,237.1,94.8,"10,052.40"
2003-8,471.4,238.5,"1,492.70","7,706.70",7.6,259.5,87.2,"10,263.60"
2003-9,353.7,357.9,"1,467.00","7,399.10",8.1,284.3,91.8,"9,961.80"
2003-10,388.3,271.6,"1,406.90","7,817.90",11,298.8,71.8,"10,266.40"
2003-11,612.7,232.3,"1,568.60","7,255.00",19.7,221.7,75.1,"9,985.10"
2003-12,565.4,206.8,"1,697.00","6,575.70",6.6,181.6,121.4,"9,354.40"
2004-1,566.6,367.9,"1,797.00","6,535.60",37.4,151.7,130.1,"9,586.20"
