Date,FT
01-04-92,6.17
01-05-93,-1.86
01-06-93,3.24
01-09-93,5.32
01-12-93,8.39
01-05-94,-0.53
01-07-94,2.8
01-08-94,9.53
01-09-94,0.36
01-10-94,3.56
01-12-94,6.91
01-04-95,23.82
01-05-95,19.95
01-06-95,24.7
01-07-95,17.35
01-10-95,14.85
01-12-95,7.5
01-02-96,25.6
01-03-96,20.42
01-06-96,25.82
01-07-96,22.5
01-09-96,22.87
01-12-96,18.1
01-10-97,26.73
01-12-97,18.28
01-05-98,55.77
01-09-98,50.45
01-12-98,42.4
01-05-99,37.92
01-09-99,32.61
01-12-99,50.71
01-05-00,64.52
01-09-00,61.52
01-12-00,56.32
01-07-01,27.13
01-11-01,24.44
01-12-02,22.77
01-12-03,21.95
01-11-04,38.28
01-12-04,26.12
01-07-05,46.83
01-12-05,43.28
01-07-06,85.44
01-11-06,75.84
01-12-06,56.83
01-07-07,68.42
01-11-07,73.42
01-12-07,78.42
01-03-08,77.7
01-07-08,62.85
01-11-08,68.86
01-12-08,66.11
01-12-10,92.55
01-06-11,-6
01-08-11,95.81
01-12-11,86.88
01-04-12,48
01-07-12,30
01-12-12,0
01-04-13,54
01-08-13,46.92
01-12-13,52.04
01-08-14,69
01-12-14,59
01-02-15,-3.23
01-04-15,46.38
01-08-15,49.61
01-12-15,58.96
01-08-16,-33.29
01-12-16,-4.8
01-08-17,-24.77
01-12-17,-37.29
01-12-18,-15.9
01-04-20,-12.43
01-12-20,-11.6
01-12-21,-15.32
01-08-22,24.77
01-12-22,1.39
01-04-23,93.43
01-08-23,98.27
01-12-23,27.67468747
01-04-24,30.1826204
01-08-24,21.95588296
01-12-24,24.40376251
01-04-25,21.70647379
01-08-25,25.28991863
01-12-25,15.00632496
01-04-26,19.95051981
