Date,XGBoost,LSTM,LASSO,Actual
2002-01,14563.2295,14552.5,16224.298953380485,14552.5
2002-02,15196.718,15260.79984509945,16246.27218923033,15260.8
2002-03,15584.836,16485.29990875721,16268.245421739686,16485.3
2002-04,15990.201,16681.09984612465,16359.184213056176,16681.1
2002-05,16256.887,16293.100045681,16366.081955769518,16293.1
2002-06,16137.637,16156.900224506857,16388.055188278868,16156.9
2002-07,16009.961,16029.799770474434,16402.911201440224,16029.8
2002-08,15916.018,15912.099920749664,16424.88443729007,15912.1
2002-09,15964.435,15818.19991737604,16431.782175758384,15818.2
2002-10,16044.78,15992.300227582457,16248.470918140089,15992.3
2002-11,16023.266,16074.199807465076,16270.444153989938,16074.2
2002-12,15930.2,15929.699873626232,16292.417386499292,15929.7
2003-01,15798.816,15777.5001912117,16892.907174976892,15777.5
2003-02,16651.95,16723.499900460243,16902.624641837534,16723.5
2003-03,17151.219,17222.19987511635,16912.34210535768,17222.2
2003-04,17808.205,17826.3998580575,17039.175653174905,17826.4
2003-05,18029.57,18121.400201261044,17012.711935060677,18121.4
2003-06,17365.146,17368.60008263588,17022.429398580825,17368.6
2003-07,17319.746,17271.8000780344,17006.943993379373,17271.8
2003-08,17229.73,17205.19975876808,17016.661460240015,17205.2
2003-09,17098.174,16816.200230777264,16990.197738785293,16816.2
2003-10,17007.379,16988.89986729622,16741.997518550776,16988.9
2003-11,17257.604,17369.399864673615,16751.714985411418,17369.4
2003-12,16996.191,16982.800210356712,16761.432448931566,16982.8
2004-01,16853.846,16776.797248840332,18424.606018655828,16831.7
2004-02,18790.746,17320.860058784485,18395.20205632661,17672.3
2004-03,19230.191,18928.34387564659,18365.798091433437,19325.8
2004-04,19192.78,19053.224881768227,18468.31365772591,19252.1
2004-05,18543.951,18237.443510353565,18378.6077210416,18373.5
2004-06,18139.414,17964.834426403046,18349.203756148425,18131.3
2004-07,18357.77,17864.94186091423,18316.538406811647,17930.3
2004-08,18428.072,18492.99550139904,18287.134444482424,18526.2
2004-09,18126.842,18243.311568140984,18197.428504329622,18229.7
2004-10,18349.666,18084.60653460025,17858.341051534455,18309.5
2004-11,18728.896,18791.801667571068,17828.937089205232,18836.3
2004-12,18706.406,17240.294152379036,17799.533124312053,17361.9
2005-01,18835.707,18136.063751220703,18899.416259761525,18261.2
2005-02,18949.143,18716.65803015232,18907.456199166405,18940.0
2005-03,19214.428,20248.72598826885,18915.49613857128,20221.5
2005-04,20483.283,20624.253989726305,19042.76165279391,20537.5
2005-05,20408.875,20691.00228977204,18951.30333351791,20536.8
2005-06,19268.45,19513.95525693893,18959.343272922782,19237.5
2005-07,18944.445,19204.870625436302,18948.62909572027,18960.1
2005-08,18988.344,19181.299740433693,18956.66903512515,19039.4
2005-09,18728.021,18993.22223675251,18865.210715849145,18775.9
2005-10,18761.379,19081.11015826464,18584.46084513857,18758.7
2005-11,18962.086,19570.27130770684,18592.50078454345,19092.4
2005-12,18495.541,19001.111907184124,18600.540723948325,18449.7
2006-01,18971.781,19244.991617500786,19549.792411862,18879.2
2006-02,20788.395,19851.33138668537,19563.55607192058,19695.7
2006-03,20592.87,20979.590132534504,19577.31973788361,20744.8
2006-04,20726.076,20895.84620040655,19757.0647411771,20531.3
2006-05,20924.502,21461.234596967697,19662.28484631108,21064.0
2006-06,20678.535,21038.718081891537,19676.04851227412,20439.3
2006-07,19939.584,20572.884084403515,19670.255436999927,20040.3
2006-08,19907.643,20329.14048475027,19684.019097058503,19869.7
2006-09,20093.29,20533.438633829355,19589.239208096944,20213.5
2006-10,20093.518,20438.398835539818,19263.14811049677,20052.3
2006-11,20273.588,20893.72118586301,19276.91177055535,20443.6
2006-12,20104.502,20758.21774482727,19290.675436518388,20092.0
2007-01,21485.691,20428.78456914425,20035.584134914363,19754.8
2007-02,21553.271,20942.335377812386,20043.56664065461,20592.9
2007-03,22029.365,22549.479181796312,20051.54914383092,22161.0
2007-04,22484.602,23565.493055671453,20289.283459577688,22586.0
2007-05,21269.223,22107.24930563569,20246.00928720657,21234.0
2007-06,21428.723,22121.072978943583,20253.99179038287,21555.4
2007-07,20434.115,21480.278747290373,20232.53162506089,20396.3
2007-08,20406.656,21766.38837361336,20240.514130801144,20853.0
2007-09,20501.066,21884.52029556036,20197.23995496154,21062.7
2007-10,20525.854,21447.93953949213,19888.569785127736,20594.4
2007-11,20449.77,21403.690648645163,19896.552290867992,20483.0
2007-12,20407.473,21743.55290824175,19904.534794044288,20957.0
2008-01,21972.84,21789.67674985528,20908.225578494345,20733.0
2008-02,21965.947,21554.25093615055,20925.446907488025,20708.2
2008-03,22075.822,22848.819503188133,20942.668242386164,22122.1
2008-04,22480.207,22966.38904541731,21188.882712727274,22568.2
2008-05,22228.033,22612.6677659452,21070.42459806521,21610.0
2008-06,22181.361,22627.358221501112,21087.645932963347,21395.8
2008-07,21781.043,22773.73930494488,21128.81646942381,21489.0
2008-08,21781.043,22730.88686729968,21146.03779841749,21590.0
2008-09,20943.19,22416.079652875665,21027.57968965988,21013.7
