,Date,LSTM,XGBoost,ANN,ARIMA,Maximum_capacity,Maximum_capacity_wo_import
0,2023-01,27183.69697073102,26686.5390625,35381.756446289946,26352.073377645258,49144.8,42909.9
1,2023-02,28179.928109288216,25581.234375,26916.04988693496,27158.15012117904,49144.8,42909.9
2,2023-03,29374.607276201248,26586.275390625,33862.316348241024,28406.045238815954,49144.8,42909.9
3,2023-04,31313.368093431,26659.75390625,36244.40554855406,29210.64574100341,49144.8,42909.9
4,2023-05,29411.088626921177,26550.34765625,34979.038025614704,29151.76156563171,49144.8,42909.9
5,2023-06,29271.14681762457,26573.09375,35325.341348643575,28255.779024906544,49144.8,42909.9
6,2023-07,29055.82027566433,26573.09375,35530.081316203374,27559.090611579202,49144.8,42909.9
7,2023-08,28168.946405529976,26477.12109375,34945.43051341007,27582.27551791044,49144.8,42909.9
8,2023-09,27368.04488396645,26529.541015625,33404.2077053775,27624.758083906578,49144.8,42909.9
9,2023-10,27284.19385701418,26676.919921875,31501.63586255802,27398.084776191354,49144.8,42909.9
10,2023-11,27837.78335827589,26571.978515625,29876.10830497655,27576.596662204913,49144.8,42909.9
11,2023-12,26435.26136186719,26489.142578125,28788.647684074673,27054.47850468671,49144.8,42909.9
12,2024-01,26933.76613906026,26470.556640625,28535.632491393928,26811.177210697995,49144.8,42909.9
13,2024-02,27937.850546360016,26469.142578125,28842.67220694001,27633.352038261066,49144.8,42909.9
14,2024-03,30238.047427117825,26469.142578125,29326.994144096385,28937.53378939304,49144.8,42909.9
15,2024-04,30219.98955154419,26476.060546875,29665.507798219875,29722.13171810385,49144.8,42909.9
16,2024-05,29043.4605833292,26476.060546875,29977.681080531165,29652.03838197289,49144.8,42909.9
17,2024-06,29313.866573750973,26594.974609375,30258.56093438584,28766.427519655186,49144.8,42909.9
18,2024-07,28742.67026132345,26554.8046875,30503.174469948517,28075.226913638366,49144.8,42909.9
19,2024-08,27911.848134040836,26575.32421875,30696.045083025445,28096.741343177568,49144.8,42909.9
20,2024-09,27460.16252347827,26581.990234375,30846.651780238008,28138.81798326338,49144.8,42909.9
21,2024-10,27977.63917517662,26635.83984375,30990.826673045955,27913.709479247147,49144.8,42909.9
22,2024-11,27157.340828955173,26616.693359375,31131.002112620972,28091.12871979116,49144.8,42909.9
23,2024-12,26345.050326764584,26545.0546875,31145.285428162704,27571.810669676706,49144.8,42909.9
24,2025-01,27388.93839836121,27062.416015625,38757.82537868642,27329.837737424383,49144.8,42909.9
25,2025-02,28044.8567404747,27062.416015625,38783.07114238493,28147.357287579944,49144.8,42909.9
26,2025-03,29904.00495350361,27070.029296875,39890.23036186285,29444.16098062826,49144.8,42909.9
27,2025-04,29214.517923355103,27069.306640625,41162.79848662624,30224.300112620633,49144.8,42909.9
