Date,Year,Month,GDP2,GDP3,GDP4,Population005,Population01,Population015,CPI2,CPI3,CPI4,Temperature
2023-01,2023,01,925573.3889,926343.4166,927113.4444,66.09275375,66.0955075,66.09826125,106.64745,106.736175,106.8249,26.58454935
2023-02,2023,02,927116.0112,928659.2752,930203.8226,66.09550761,66.10101546,66.10652353,106.8251957,107.0030154,107.180983,26.39330828
2023-03,2023,03,928661.2045,930980.9234,933304.502,66.09826159,66.10652388,66.11478685,107.0032377,107.270523,107.5382529,26.54384808
2023-04,2023,04,930208.9732,933308.3757,936415.517,66.10101569,66.11203275,66.1230512,107.1815765,107.5386993,107.8967138,26.60591528
2023-05,2023,05,931759.3215,935641.6466,939536.902,66.1037699,66.11754209,66.13131658,107.3602124,107.807546,108.2563695,26.67281879
2023-06,2023,06,933312.2537,937980.7507,942668.6917,66.10652422,66.12305189,66.13958299,107.5391461,108.0770649,108.6172241,26.66632753
2023-07,2023,07,934867.7741,940325.7026,945810.9207,66.10927866,66.12856214,66.14785044,107.718378,108.3472576,108.9792815,26.66630635
2023-08,2023,08,936425.8871,942676.5169,948963.6237,66.11203321,66.13407285,66.15611892,107.8979087,108.6181257,109.3425457,26.70229731
2023-09,2023,09,937986.5969,945033.2082,952126.8358,66.11478788,66.13958403,66.16438844,108.0777385,108.889671,109.7070209,26.76305975
2023-10,2023,10,939549.9079,947395.7912,955300.5919,66.11754266,66.14509566,66.17265899,108.2578681,109.1618952,110.072711,26.83474656
2023-11,2023,11,941115.8244,949764.2807,958484.9273,66.12029756,66.15060775,66.18093057,108.4382979,109.4347999,110.43962,26.89627575
2023-12,2023,12,942684.3508,952138.6914,961679.877,66.12305257,66.1561203,66.18920318,108.6190283,109.7083869,110.8077521,26.93044265
2024-01,2024,01,944255.4913,954519.0381,964885.4766,66.1258077,66.16163331,66.19747683,108.8000601,109.9826579,111.1771112,26.94040611
2024-02,2024,02,945829.2505,956905.3357,968101.7615,66.12856294,66.16714678,66.20575152,108.9813935,110.2576145,111.5477016,26.93884314
2024-03,2024,03,947405.6326,959297.599,971328.7674,66.1313183,66.17266071,66.21402724,109.1630292,110.5332586,111.9195273,26.93346522
2024-04,2024,04,948984.642,961695.843,974566.5299,66.13407377,66.1781751,66.22230399,109.3449675,110.8095917,112.2925924,26.92766623
2024-05,2024,05,950566.283,964100.0826,977815.085,66.13682936,66.18368994,66.23058178,109.5272091,111.0866157,112.666901,26.92271062
2024-06,2024,06,952150.5602,966510.3328,981074.4687,66.13958506,66.18920525,66.2388606,109.7097545,111.3643322,113.0424574,26.91875573
2024-07,2024,07,953737.4778,968926.6087,984344.7169,66.14234088,66.19472102,66.24714046,109.8926041,111.6427431,113.4192656,26.91595953
2024-08,2024,08,955327.0402,971348.9252,987625.866,66.14509681,66.20023725,66.25542135,110.0757584,111.9218499,113.7973298,26.91481363
2024-09,2024,09,956919.252,973777.2975,990917.9522,66.14785285,66.20575393,66.26370328,110.259218,112.2016546,114.1766542,26.91501695
2024-10,2024,10,958514.1174,976211.7407,994221.012,66.15060901,66.21127108,66.27198624,110.4429834,112.4821587,114.557243,26.91543133
2024-11,2024,11,960111.6409,978652.2701,997535.0821,66.15336529,66.21678868,66.28027024,110.627055,112.7633641,114.9391005,26.91597952
2024-12,2024,12,961711.827,981098.9008,1000860.199,66.15612168,66.22230675,66.28855527,110.8114335,113.0452725,115.3222309,26.92053333
2025-01,2025,01,963314.68,983551.648,1004196.4,66.15887818,66.22782528,66.29684134,110.9961192,113.3278857,115.7066383,27.91342978
2025-02,2025,02,964920.2045,986010.5271,1007543.721,66.1616348,66.23334426,66.30512845,111.1811127,113.6112054,116.0923271,27.91899154
2025-03,2025,03,966528.4048,988475.5535,1010902.2,66.16439154,66.23886371,66.31341659,111.3664146,113.8952334,116.4793015,27.89600718
2025-04,2025,04,968139.2855,990946.7423,1014271.874,66.16714839,66.24438361,66.32170577,111.5520253,114.1799715,116.8675659,27.8495876
2025-05,2025,05,969752.851,993424.1092,1017652.78,66.16990535,66.24990398,66.32999598,111.7379453,114.4654214,117.2571244,27.81081095
2025-06,2025,06,971369.1057,995907.6695,1021044.956,66.17266243,66.2554248,66.33828723,111.9241752,114.751585,117.6479815,27.76295699
2025-07,2025,07,972988.0543,998397.4386,1024448.439,66.17541963,66.26094609,66.34657952,112.1107155,115.0384639,118.0401414,27.71104835
2025-08,2025,08,974609.701,1000893.432,1027863.268,66.17817693,66.26646783,66.35487284,112.2975667,115.3260601,118.4336086,27.66242181
2025-09,2025,09,976234.0505,1003395.666,1031289.478,66.18093436,66.27199004,66.3631672,112.4847293,115.6143752,118.8283873,27.61787069
2025-10,2025,10,977861.1073,1005904.155,1034727.11,66.1836919,66.2775127,66.37146259,112.6722038,115.9034112,119.2244819,27.57306996
2025-11,2025,11,979490.8758,1008418.915,1038176.2,66.18644955,66.28303583,66.37975903,112.8599909,116.1931697,119.6218968,27.52207538
