Date,Year,Month,Residential,Business,Industrial,Government and Non-Profit,Other sector,Grand Total
01-01-02,2002,1,1524.085177,1397.47974,3977.330328,246.117053,181.7925994,7326.804999
01-02-02,2002,2,1597.466131,1421.461132,3890.335908,259.673866,190.1252406,7359.062345
01-03-02,2002,3,1842.061202,1625.588512,4510.566617,300.596615,192.4380154,8471.251018
01-04-02,2002,4,2048.720372,1660.139789,4233.868312,286.972177,231.3773468,8461.078085
01-05-02,2002,5,1989.872169,1663.676852,4589.169909,305.830666,181.7447924,8730.294447
01-06-02,2002,6,1918.609722,1652.298726,4518.909423,331.824559,182.1803415,8603.822828
01-07-02,2002,7,1942.96179,1689.672585,4598.96942,341.537835,219.3947729,8792.536484
01-08-02,2002,8,1881.973744,1667.415189,4646.02322,323.306597,131.7423249,8650.461133
01-09-02,2002,9,1805.927948,1616.951735,4496.778693,318.642682,189.5287256,8427.829862
01-10-02,2002,10,1845.032888,1661.481041,4616.356325,313.211507,192.7412418,8628.823096
01-11-02,2002,11,1784.437096,1595.471236,4523.672872,308.918156,156.4353138,8368.934751
01-12-02,2002,12,1782.026179,1615.914256,4362.77715,298.549872,210.875091,8270.142603
01-01-03,2003,1,1687.460794,1560.051766,4411.356262,261.131776,194.97163,8114.972317
01-02-03,2003,2,1646.825915,1603.6398,4233.862529,268.101641,153.3716235,7905.801595
01-03-03,2003,3,1961.256918,1762.186283,4904.092657,303.719248,222.3520939,9153.607322
01-04-03,2003,4,2141.527246,1762.253561,4461.700113,295.793441,199.1320467,8860.406464
01-05-03,2003,5,2188.357998,1806.763328,4904.858752,312.09514,224.575183,9436.650463
01-06-03,2003,6,2046.227219,1762.243699,4774.208794,334.414138,228.5008903,9145.594862
01-07-03,2003,7,1982.454698,1778.471037,4759.962423,350.393658,217.5668138,9088.848691
01-08-03,2003,8,2052.216127,1806.717272,4888.735204,344.037976,251.9222169,9343.628881
01-09-03,2003,9,1916.635573,1712.722835,4831.579235,329.68383,149.9187466,8940.540319
01-10-03,2003,10,2011.065458,1757.657738,4997.350144,325.605981,228.5556191,9320.235065
01-11-03,2003,11,1939.022127,1759.579988,4894.515513,334.804228,222.6653255,9150.587265
01-12-03,2003,12,1756.495895,1611.624242,4684.885911,241.322959,231.9489085,8526.278011
01-01-04,2004,1,1755.013039,1643.459922,4659.663251,273.677472,237.7401995,8569.553962
01-02-04,2004,2,1714.705559,1630.440492,4815.626777,280.41625,232.9657432,8674.15494
01-03-04,2004,3,2094.390572,1888.512182,5271.968226,314.914573,262.7886457,9832.574331
01-04-04,2004,4,2354.507754,1924.152872,4857.234117,320.117339,274.675623,9730.68783
01-05-04,2004,5,2297.726498,1944.437329,5348.041613,326.183651,254.1727673,10170.56195
01-06-04,2004,6,2088.728047,1846.862872,5116.308021,346.461176,258.3796235,9656.739828
01-07-04,2004,7,2131.09103,1944.750144,5336.131695,340.566135,248.5436202,10001.08276
01-08-04,2004,8,2094.954603,1899.142094,5217.590996,339.519901,272.2115579,9823.419261
01-09-04,2004,9,2084.941987,1893.537594,5293.067062,347.969974,186.4105875,9805.927271
01-10-04,2004,10,2091.881043,1879.105976,5464.454962,322.45912,284.8282658,10042.72944
01-11-04,2004,11,2063.229991,1880.634815,5227.738918,319.741012,241.106985,9732.451787
01-12-04,2004,12,1767.152762,1714.967524,5043.822365,282.446278,252.8378666,9061.226879
01-01-05,2005,1,1758.133105,1705.357132,5080.030635,270.918216,277.2081984,9091.647349
01-02-05,2005,2,1925.123518,1784.229513,4987.265812,303.927074,279.3483856,9279.894428
01-03-05,2005,3,2128.936723,1967.735553,5793.325649,327.1079,296.9869064,10514.09285
01-04-05,2005,4,2354.264762,1990.766664,5218.527642,305.772652,276.05613,10145.38794
01-05-05,2005,5,2495.137168,2097.190483,5781.86275,346.099453,293.9420775,11014.23203
01-06-05,2005,6,2281.022882,2048.971697,5591.628477,360.938337,299.7503862,10582.31192
01-07-05,2005,7,2188.609927,1984.43302,5543.489082,340.800531,267.1302286,10324.46288
01-08-05,2005,8,2143.174426,1995.153528,5504.181444,333.946555,282.8103233,10259.26635
01-09-05,2005,9,2138.334431,1939.01199,5522.383744,359.517157,255.4059039,10214.65332
01-10-05,2005,10,2176.032976,1947.492273,5653.896179,314.650123,294.4230521,10386.49472
01-11-05,2005,11,2036.477091,1907.353373,5475.710352,308.384786,284.6808772,10012.60659
01-12-05,2005,12,1856.649265,1777.769481,5213.092394,276.41259,291.0532566,9414.977051
01-01-06,2006,1,1888.102773,1860.905827,5206.525349,273.842657,287.9638494,9517.340563
01-02-06,2006,2,1958.184299,1860.989442,5252.872531,289.073835,291.2071298,9652.327325
01-03-06,2006,3,2321.091528,2179.930495,6023.140517,342.412865,317.2904329,11183.86591
01-04-06,2006,4,2446.42078,2046.01229,5448.909656,310.030919,303.2949809,10554.66874
01-05-06,2006,5,2403.273276,2129.356287,6029.811475,317.806931,311.0653669,11191.31349
01-06-06,2006,6,2313.951989,2095.24959,5867.624201,353.256635,413.0510218,11043.13356
01-07-06,2006,7,2300.436208,2149.832849,5887.618811,357.05726,311.7125393,11006.65782
01-08-06,2006,8,2285.862112,2153.776468,5898.411312,353.784421,322.8359212,11014.67033
01-09-06,2006,9,2273.097675,2084.513145,5815.582414,376.813163,317.0474433,10867.05396
