,Date,LSTM,XGBoost,ARIMA,SARIMA,Maximum_capacity,Maximum_capacity_wo_import
0,2023-01,27183.69697073102,26686.5390625,26352.073377645258,27308.83578179573,49144.8,42909.9
1,2023-02,28179.928109288216,25581.234375,27158.15012117904,28056.154178076235,49144.8,42909.9
2,2023-03,29374.607276201248,26586.275390625,28406.045238815954,30013.44641149088,49144.8,42909.9
3,2023-04,31313.368093431,26659.75390625,29210.64574100341,30872.930475172903,49144.8,42909.9
4,2023-05,29411.088626921177,26550.34765625,29151.76156563171,30407.355685020422,49144.8,42909.9
5,2023-06,29271.14681762457,26573.09375,28255.779024906544,29700.72181185468,49144.8,42909.9
6,2023-07,29055.82027566433,26573.09375,27559.090611579202,29024.8539954673,49144.8,42909.9
7,2023-08,28168.946405529976,26477.12109375,27582.27551791044,28797.483251457303,49144.8,42909.9
8,2023-09,27368.04488396645,26529.541015625,27624.758083906578,28509.97347465517,49144.8,42909.9
9,2023-10,27284.19385701418,26676.919921875,27398.084776191354,28140.100750743262,49144.8,42909.9
10,2023-11,27837.78335827589,26571.978515625,27576.596662204913,28580.268862495963,49144.8,42909.9
11,2023-12,26435.26136186719,26489.142578125,27054.47850468671,27696.068093884045,49144.8,42909.9
12,2024-01,26933.76613906026,26470.556640625,26811.177210697995,27822.2305832598,49144.8,42909.9
13,2024-02,27937.850546360016,26469.142578125,27633.352038261066,28540.61814883467,49144.8,42909.9
14,2024-03,30238.047427117825,26469.142578125,28937.53378939304,30483.472820910647,49144.8,42909.9
15,2024-04,30219.98955154419,26476.060546875,29722.13171810385,31335.75200411313,49144.8,42909.9
16,2024-05,29043.4605833292,26476.060546875,29652.03838197289,30866.58171043296,49144.8,42909.9
17,2024-06,29313.866573750973,26594.974609375,28766.427519655186,30158.15354718089,49144.8,42909.9
18,2024-07,28742.67026132345,26554.8046875,28075.226913638366,29481.39031325626,49144.8,42909.9
19,2024-08,27911.848134040836,26575.32421875,28096.741343177568,29253.5727225674,49144.8,42909.9
20,2024-09,27460.16252347827,26581.990234375,28138.81798326338,28965.83995264071,49144.8,42909.9
21,2024-10,27977.63917517662,26635.83984375,27913.709479247147,28595.85594685976,49144.8,42909.9
22,2024-11,27157.340828955173,26616.693359375,28091.12871979116,29035.96852481785,49144.8,42909.9
23,2024-12,26345.050326764584,26545.0546875,27571.810669676706,28151.74004277544,49144.8,42909.9
24,2025-01,27388.93839836121,27062.416015625,27329.837737424383,28277.88870211787,49144.8,42909.9
25,2025-02,28044.8567404747,27062.416015625,28147.357287579944,28996.26936599135,49144.8,42909.9
26,2025-03,29904.00495350361,27070.029296875,29444.16098062826,30939.12059386145,49144.8,42909.9
27,2025-04,29214.517923355103,27069.306640625,30224.300112620633,31791.39805827701,49144.8,42909.9
28,2025-05,28967.42536830902,26846.896484375,30154.54531321935,31322.226906858188,49144.8,42909.9
29,2025-06,28645.48408228159,26632.765625,29273.845460621003,30613.798315562603,49144.8,42909.9
30,2025-07,28181.370987832543,26598.779296875,28586.464961584083,29937.03486802834,49144.8,42909.9
31,2025-08,27672.31473264098,26557.79296875,28607.8024095786,29709.21717074031,49144.8,42909.9
32,2025-09,27508.39819061756,26966.654296875,28649.586769468482,29421.48434761667,49144.8,42909.9
33,2025-10,27250.96201649308,26639.67578125,28425.684499533876,29051.500315288464,49144.8,42909.9
34,2025-11,25946.11208254099,26805.42578125,28602.05225009891,29491.612879998487,49144.8,42909.9
35,2025-12,26595.813121676445,26695.576171875,28085.5906715668,28607.3843913448,49144.8,42909.9
36,2026-01,27008.08678176999,26690.203125,27844.91860613331,28733.53304738795,49144.8,42909.9
37,2026-02,27731.27201610804,26652.7109375,28657.79642882067,29451.91370961497,49144.8,42909.9
38,2026-03,28279.16913729906,26652.7109375,29947.270140830988,31394.764936663425,49144.8,42909.9
39,2026-04,27820.46142989397,26651.1875,30722.977220717992,32247.04240066895,49144.8,42909.9
40,2026-05,28247.064957797527,26675.572265625,30653.55734980499,31777.871249045507,49144.8,42909.9
41,2026-06,27744.1194383204,26675.572265625,29777.740946166203,31069.44265764781,49144.8,42909.9
42,2026-07,27361.55430454016,26675.572265625,29094.159590599786,30392.679210062583,49144.8,42909.9
43,2026-08,27682.789186775684,26675.572265625,29115.321053429565,30164.861512749125,49144.8,42909.9
44,2026-09,27873.24704438448,26664.8125,29156.814748039593,29877.1286896128,49144.8,42909.9
45,2026-10,27006.249024033543,26664.8125,28934.11202929246,29507.14465727825,49144.8,42909.9
46,2026-11,26302.451118260626,26662.728515625,29109.434258299378,29947.25722198512,49144.8,42909.9
47,2026-12,26313.166403859854,26709.912109375,28595.81317852736,29063.028733329844,49144.8,42909.9
48,2027-01,26598.106691867117,25541.6953125,28356.43473874667,29189.177389372213,49144.8,42909.9
49,2027-02,28487.67273658514,25485.123046875,29164.69692802896,29907.55805159884,49144.8,42909.9
50,2027-03,29489.13490337133,25515.3515625,30446.881829149675,31850.409278647097,49144.8,42909.9
51,2027-04,29318.3999029398,26681.677734375,31218.18177237342,32702.686742652524,49144.8,42909.9
52,2027-05,29008.928569436077,26444.037109375,31149.09500837885,32233.515591029038,49144.8,42909.9
53,2027-06,28623.111287653446,26421.98046875,30278.134719909835,31525.086999631312,49144.8,42909.9
54,2027-07,28228.86569595337,26368.740234375,29598.331255664205,30848.323552046077,49144.8,42909.9
55,2027-08,27531.21519136429,26558.52734375,29619.317777321154,30620.505854732608,49144.8,42909.9
56,2027-09,27503.510340631008,26809.1328125,29660.522493893237,30332.77303159628,49144.8,42909.9
57,2027-10,27997.23647290468,26661.45703125,29439.012655076265,29962.78899926173,49144.8,42909.9
58,2027-11,26596.207737088203,26718.650390625,29613.295283664083,30402.9015639686,49144.8,42909.9
59,2027-12,26493.74067533016,26709.759765625,29102.498827460648,29518.673075313327,49144.8,42909.9
60,2028-01,27325.230958253145,26622.759765625,28864.406814404996,29644.821731355696,49144.8,42909.9
61,2028-02,27494.79820305109,26770.22265625,29668.079315836098,30363.202393582324,49144.8,42909.9
62,2028-03,29002.317706167694,26647.400390625,30943.016345221375,32306.05362063058,49144.8,42909.9
63,2028-04,28661.80892091989,26626.416015625,31709.933927887363,33158.33108463601,49144.8,42909.9
64,2028-05,28805.563411474228,26626.416015625,31641.178459324434,32689.15993301252,49144.8,42909.9
65,2028-06,27555.883666425943,26626.416015625,30775.047105398975,31980.7313416148,49144.8,42909.9
66,2028-07,27172.647739201784,26560.375,30099.000399500892,31303.96789402956,49144.8,42909.9
67,2028-08,27544.08556246757,26649.712890625,30119.81301807855,31076.1501967161,49144.8,42909.9
68,2028-09,27445.57995408773,26530.5546875,30160.730434323646,30788.417373579763,49144.8,42909.9
69,2028-10,27078.027351677418,26510.69921875,29940.406841538832,30418.43334124522,49144.8,42909.9
70,2028-11,26453.65608495474,26510.69921875,30113.65575758038,30858.545905952087,49144.8,42909.9
71,2028-12,26063.33396226168,26555.03125,29605.66813873891,29974.317417296814,49144.8,42909.9
72,2029-01,26440.233885347843,26095.83203125,29368.855393800608,30100.466073339183,49144.8,42909.9
73,2029-02,28528.22052526474,26630.17578125,30167.964007350773,30818.84673556581,49144.8,42909.9
74,2029-03,30574.999925613403,26766.828125,31435.693874473436,32761.697962614067,49144.8,42909.9
75,2029-04,30369.575170636177,26971.6953125,32198.25373366275,33613.975426619494,49144.8,42909.9
76,2029-05,29876.152913331985,26991.63671875,32129.827759147625,33144.804274996,49144.8,42909.9
77,2029-06,29677.19183218479,26770.962890625,31268.498311535626,32436.37568359828,49144.8,42909.9
78,2029-07,29046.877066493034,26539.359375,30596.18734948725,31759.61223601304,49144.8,42909.9
79,2029-08,27749.5730971694,26603.345703125,30616.82709719908,31531.794538699574,49144.8,42909.9
80,2029-09,27654.498216092587,26614.1796875,30657.45888136055,31244.061715563243,49144.8,42909.9
81,2029-10,28488.18974608183,26680.40625,30438.314937861327,30874.0776832287,49144.8,42909.9
82,2029-11,26592.50426089764,26897.767578125,30610.53599614744,31314.190247935567,49144.8,42909.9
83,2029-12,26425.02984943986,26421.046875,30105.341516947214,30429.961759280293,49144.8,42909.9
84,2030-01,27736.833033561707,26631.6484375,29869.800921613067,30556.110415322662,49144.8,42909.9
85,2030-02,27638.168629407883,26647.044921875,30664.371302485448,31274.49107754929,49144.8,42909.9
86,2030-03,29443.341050982475,26631.6484375,31924.934488425202,33217.34230459754,49144.8,42909.9
87,2030-04,28866.43336629868,26713.173828125,32683.161122974365,34069.61976860297,49144.8,42909.9
88,2030-05,28854.117989063263,26713.173828125,32615.062851169554,33600.44861697948,49144.8,42909.9
89,2030-06,27674.59907051921,26713.173828125,31758.508433182324,32892.020025581754,49144.8,42909.9
90,2030-07,27437.08754554391,26713.173828125,31089.912318296745,32215.256577996515,49144.8,42909.9
91,2030-08,27592.53805705905,26758.328125,31110.38022150921,31987.43888068305,49144.8,42909.9
92,2030-09,27294.52507841587,26758.328125,31150.728032415966,31699.70605754672,49144.8,42909.9
93,2030-10,27188.77052208781,26761.212890625,30932.757178398882,31329.722025212177,49144.8,42909.9
94,2030-11,26312.36583048105,26771.345703125,31103.95620082399,31769.834589919043,49144.8,42909.9
95,2030-12,26191.15374532342,26784.599609375,30601.539251533944,30885.60610126377,49144.8,42909.9
96,2031-01,26708.178277492523,27021.92578125,30367.263727160436,31011.75475730614,49144.8,42909.9
97,2031-02,28524.47537177801,25756.5078125,31157.32138660313,31730.13541953277,49144.8,42909.9
98,2031-03,30345.67561531067,26898.05078125,32410.75814532765,33672.98664658102,49144.8,42909.9
