Year,Month,Date,Population (million),Temperature (celsius),CPI,GDP (million bahts),Peak Load (MW),Generation (GWh),Consumption (GWh)
2002,Jan,2002-Jan,63.25,26.45,70.23,480343.33,14552.5,8261.93,7326.8
2002,Feb,2002-Feb,63.21,26.49,70.23,480343.33,15260.8,8187.95,7359.06
2002,Mar,2002-Mar,63.17,26.52,70.23,480343.33,16485.3,9687.11,8471.25
2002,Apr,2002-Apr,63.13,26.55,70.23,470404.67,16681.1,9378.36,8461.08
2002,May,2002-May,63.09,26.58,70.07,470404.67,16293.1,9654.67,8730.29
2002,Jun,2002-Jun,63.05,26.62,70.07,470404.67,16156.9,9488.2,8603.82
2002,Jul,2002-Jul,63,26.65,70.07,471430.33,16029.8,9752,8792.54
2002,Aug,2002-Aug,62.96,26.68,70.07,471430.33,15912.1,9599.53,8650.46
2002,Sep,2002-Sep,62.92,26.71,69.9,471430.33,15818.2,9339.21,8427.83
2002,Oct,2002-Oct,62.88,26.75,69.9,501014.00,15992.3,9574.54,8628.82
2002,Nov,2002-Nov,62.84,26.78,69.9,501014.00,16074.2,9179.94,8368.93
2002,Dec,2002-Dec,62.8,26.81,69.9,501014.00,15929.7,9152.39,8270.14
2003,Jan,2003-Jan,63.34,26.64,71.9,516914.00,15777.5,8977.88,8114.97
2003,Feb,2003-Feb,63.31,26.65,71.9,516914.00,16723.5,8818.92,7905.8
2003,Mar,2003-Mar,63.29,26.65,71.9,516914.00,17222.2,10215.11,9153.61
2003,Apr,2003-Apr,63.27,26.66,71.9,500036.33,17826.4,9963.1,8860.41
2003,May,2003-May,63.24,26.67,71.5,500036.33,18121.4,10540.07,9436.65
2003,Jun,2003-Jun,63.22,26.68,71.5,500036.33,17368.6,10011.53,9145.59
2003,Jul,2003-Jul,63.2,26.68,71.5,503668.33,17271.8,10052.41,9088.85
2003,Aug,2003-Aug,63.17,26.69,71.5,503668.33,17205.2,10263.59,9343.63
2003,Sep,2003-Sep,63.15,26.7,71.1,503668.33,16816.2,9961.82,8940.54
2003,Oct,2003-Oct,63.13,26.71,71.1,540837.00,16988.9,10266.44,9320.24
2003,Nov,2003-Nov,63.1,26.71,71.1,540837.00,17369.4,8865.14,9150.59
2003,Dec,2003-Dec,63.08,26.72,71.1,540837.00,16982.8,9354.43,8526.28
2004,Jan,2004-Jan,60.95,26.59,74.43,550643.00,16831.7,9586.19,8569.55
2004,Feb,2004-Feb,61.05,26.59,74.43,550643.00,17672.3,9586.03,8674.15
2004,Mar,2004-Mar,61.14,26.6,74.43,550643.00,19325.8,11201.64,9832.57
2004,Apr,2004-Apr,61.23,26.6,74.43,531632.00,19252.1,10776.63,9730.69
2004,May,2004-May,61.32,26.61,73.77,531632.00,18373.5,11176.69,10170.56
2004,Jun,2004-Jun,61.42,26.62,73.77,531632.00,18131.3,10648.43,9656.74
2004,Jul,2004-Jul,61.51,26.62,73.77,532102.00,17930.3,11107.65,10001.08
2004,Aug,2004-Aug,61.6,26.63,73.77,532102.00,18526.2,10922.96,9823.42
2004,Sep,2004-Sep,61.69,26.63,73.1,532102.00,18229.7,10780.24,9805.93
2004,Oct,2004-Oct,61.79,26.64,73.1,576730.67,18309.5,11058.53,10042.73
