Year,Population (M),Temperature,CPI
2022,66.09,26.3,106.47
2021,66.17,26.91,100.37
2020,66.19,27.43,99.15
2019,66.56,27.52,100
2018,66.41,26.92,99.3
2017,66.19,26.94,98.25
2016,65.93,27.43,97.6
2015,65.73,27.31,97.42
2014,65.12,26.91,98.3
2013,64.79,26.81,96.47
2012,64.46,27.17,94.41
2011,64.08,26.27,91.65
2010,63.88,27.33,88.29
2009,63.53,26.69,85.5
2008,63.39,26.3,86.2
2007,63.04,26.65,81.7
2006,62.83,26.75,80
2005,62.42,26.86,76.4
2004,61.97,26.65,73.1
2003,63.08,26.72,71.1
2002,62.8,26.81,69.9
