Date,Residental <150,Residental > 150,Residental Total,Small General,Medium General,Large General,Specific Business,Gov & Nonprofit,Agriculture Pumping,Temporary,Stand By Rate,Interruptible Rate,Free of Charge,Total,Direct Customer,Grand total
2002-1,488,1036,1524,693,1415,2958,236,246,19,29,1,,78,7199,128,7327
2002-2,510,1088,1597,719,1406,2797,238,260,26,31,1,76,74,7224,135,7359
2002-3,597,1246,1842,816,1664,3199,277,301,24,31,0,85,76,8316,155,8471
2002-4,662,1387,2049,863,1574,3014,290,287,23,34,0,86,86,8307,154,8461
2002-5,652,1338,1990,884,1670,3230,278,306,15,34,1,98,77,8582,149,8730
2002-6,588,1331,1919,855,1644,3206,264,332,14,34,1,96,76,8440,164,8604
2002-7,587,1356,1943,852,1682,3302,277,342,23,33,1,100,78,8632,160,8793
2002-8,573,1309,1882,830,1639,3313,275,323,17,35,1,92,80,8486,164,8650
2002-9,543,1263,1806,811,1606,3264,254,319,5,34,1,87,81,8267,161,8428
2002-10,566,1279,1845,816,1622,3323,273,313,14,34,1,145,83,8470,159,8629
2002-11,549,1236,1784,792,1565,3241,253,309,3,36,2,149,84,8218,151,8369
2002-12,546,1236,1782,817,1585,3108,256,299,9,34,1,144,87,8122,148,8270
2003-1,533,1154,1687,758,1499,3200,253,261,20,34,4,144,88,7947,168,8115
2003-2,503,1144,1647,759,1472,3085,255,268,26,33,1,142,84,7773,133,7906
2003-3,599,1362,1961,877,1730,3521,286,304,25,37,3,169,88,9001,153,9154
2003-4,660,1482,2142,903,1568,3243,283,296,22,35,2,139,88,8722,139,8860
2003-5,677,1511,2188,945,1747,3518,277,312,20,38,2,152,89,9287,149,9437
2003-6,613,1433,2046,912,1710,3454,262,334,16,36,0,137,90,8999,147,9146
2003-7,591,1391,1982,902,1705,3467,270,350,18,34,1,128,90,8949,140,9089
2003-8,599,1453,2052,872,1749,3618,282,344,20,37,2,129,88,9193,150,9344
2003-9,567,1349,1917,853,1716,3444,259,330,10,36,2,140,88,8795,145,8941
2003-10,603,1408,2011,896,1748,3630,273,326,14,38,2,136,96,9169,151,9320
2003-11,559,1380,1939,866,1748,3559,277,335,18,36,3,124,95,8999,151,9151
2003-12,534,1223,1756,800,1616,3402,251,241,19,39,1,138,99,8361,165,8526
